cycleNumber,Qchg_mAh,Echg_Wh,Qdis_mAh,Edis_Wh,eta_Q,eta_E,T_mean,T_95,frac_time_Tgt40,cycle_duration,R0_ohm,domain
77,2053.69524223445,8.109490624590434,2054.51828989909,7.14277121176837,1.0,0.8807915986867686,29.427924572981368,37.16898665000001,0.0002545652346898975,1924834.911986088,,Cell2
78,2041.96773796687,8.06575517007755,2054.66651527615,7.14316407063177,1.0,0.8856162777084506,29.46238738664596,37.076149750000006,0.0002544504844561264,1925702.9600766273,,Cell2
79,2042.50401852619,8.067573476723194,2055.52073477322,7.14219250998541,1.0,0.885296245592591,29.44626036080871,37.342416599999986,0.0002543392251715924,1926545.3481644988,,Cell2
80,2043.14205910566,8.06996606115343,2055.99194066623,7.14231863969215,1.0,0.8850494023851332,29.43735440775194,37.07456999999999,0.00025422574589145154,1927405.3042541961,,Cell2
81,2043.49540141682,8.07146859777955,2056.43550341797,7.14306617683283,1.0,0.8849772616098486,29.412969108695652,37.20335940000001,0.00025411224685329586,1928266.1783439952,,Cell2
82,2043.29323552759,8.070732941718223,2058.41319566922,7.14308383211648,1.0,0.8850601158159186,29.350014032558143,37.091955399999975,0.0002540010561036168,1929110.2904320448,,Cell2
83,2045.19171514792,8.077607139100468,2059.159697838,7.14246078315237,1.0,0.8842297799528491,29.328388496894416,37.19071500000001,0.0002538972492472146,1929899.014514313,,Cell2
84,2047.40040600414,8.086298463621612,2059.15693288384,7.14234323971065,1.0,0.8832648549694773,29.428375353488374,37.246814,0.00026932287034317254,1930753.4246034282,,Cell2
85,2046.89114938065,8.084500595495506,2059.08983720703,7.14315363367919,1.0,0.8835615198864835,29.474432153013904,37.18676649999998,0.00026920929021683387,1931568.0146884029,,Cell2
86,2046.47488116884,8.082768772155172,2059.73842626058,7.14282655795808,1.0,0.8837103669926627,29.406075599071208,37.1812355,0.0002535733402783225,1932364.224771454,,Cell2
87,2047.17342653228,8.085614721561459,2060.37913030273,7.1428059346331,1.0,0.8833967707595288,29.34559462229102,37.06469425,0.0002534654981712786,1933186.3888572133,,Cell2
